"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"1694","FDF20",12.85,"Low Fat",0.033355494,"Fruits and Vegetables",198.5768,"OUT018","Medium","Tier 3","Supermarket Type2",2904.99015093043
"1695","FDV50",14.3,"Low Fat",0.122548032,"Dairy",122.173,"OUT035","Small","Tier 2","Supermarket Type1",2060.95484829268
"1696","FDT02",12.6,"Low Fat",0.024232347,"Dairy",36.1874,"OUT049","Medium","Tier 1","Supermarket Type1",679.500029502709
"1697","DRC49",8.67,"Low Fat",0.065806717,"Soft Drinks",144.6128,"OUT017",NA,"Tier 2","Supermarket Type1",2416.17160422418
"1698","FDF26",6.825,"Regular",0.046707264,"Canned",151.9998,"OUT049","Medium","Tier 1","Supermarket Type1",2602.09735241354
"1699","FDV52",20.7,"Regular",0,"Frozen Foods",118.6466,"OUT035","Small","Tier 2","Supermarket Type1",2050.97575874098
"1700","FDX59",10.195,"Low Fat",0.051741591,"Breads",35.2558,"OUT049","Medium","Tier 1","Supermarket Type1",713.680604601953
"1701","FDV25",5.905,"Low Fat",0.045643611,"Canned",222.0456,"OUT035","Small","Tier 2","Supermarket Type1",3698.45836412379
"1702","FDW23",NA,"Low Fat",0.081615145,"Baking Goods",38.6164,"OUT027","Medium","Tier 3","Supermarket Type3",2115.62540509155
"1703","FDE53",10.895,"Low Fat",0.026989658,"Frozen Foods",107.728,"OUT018","Medium","Tier 3","Supermarket Type2",1437.37213884904
"1704","FDA19",7.52,"Low Fat",0.055439323,"Fruits and Vegetables",130.0994,"OUT017",NA,"Tier 2","Supermarket Type1",2186.23289210017
"1705","FDH22",6.405,"Low Fat",0.136300946,"Snack Foods",126.0678,"OUT046","Small","Tier 1","Supermarket Type1",2024.0771559572
"1706","NCO41",12.5,"Low Fat",0.018833177,"Health and Hygiene",97.8384,"OUT013","High","Tier 3","Supermarket Type1",1606.84599672058
"1707","FDX12",18.2,"Regular",0.026211917,"Baking Goods",241.3196,"OUT017",NA,"Tier 2","Supermarket Type1",3972.63029514135
"1708","FDF17",5.19,"Low Fat",0.042585419,"Frozen Foods",196.911,"OUT013","High","Tier 3","Supermarket Type1",3144.05046404412
"1709","FDS11",7.05,"Regular",0.055671183,"Breads",222.3088,"OUT045",NA,"Tier 2","Supermarket Type1",3500.50269639745
"1710","FDR51",9.035,"Regular",0.173436917,"Meat",150.0708,"OUT035","Small","Tier 2","Supermarket Type1",2590.63317052288
"1711","FDT49",7,"Low Fat",0.253421913,"Canned",106.228,"OUT010",NA,"Tier 3","Grocery Store",-150.403808155847
"1712","FDC56",7.72,"Low Fat",0.121419594,"Fruits and Vegetables",120.244,"OUT013","High","Tier 3","Supermarket Type1",2002.92517572089
"1713","FDR13",NA,"Regular",0.02858175,"Canned",116.4492,"OUT027","Medium","Tier 3","Supermarket Type3",3390.32942199626
"1714","FDQ60",6.195,"Regular",0.10935376,"Baking Goods",120.4098,"OUT035","Small","Tier 2","Supermarket Type1",2131.82608009103
"1715","FDN38",6.615,"Regular",0.092114847,"Canned",248.7408,"OUT049","Medium","Tier 1","Supermarket Type1",4108.42507374774
"1716","NCL29",9.695,"Low Fat",0.113844617,"Health and Hygiene",157.8604,"OUT013","High","Tier 3","Supermarket Type1",2546.49994842233
"1717","FDO13",NA,"Low Fat",0.060763988,"Breakfast",164.0526,"OUT027","Medium","Tier 3","Supermarket Type3",4066.08687722214
"1718","FDE26",9.3,"Low Fat",0.089368341,"Canned",143.8786,"OUT018","Medium","Tier 3","Supermarket Type2",2054.94402278151
"1719","FDA31",7.1,"Low Fat",0.18413701,"Fruits and Vegetables",172.808,"OUT010",NA,"Tier 3","Grocery Store",891.13842575433
"1720","FDX14",13.1,"Low Fat",0.07492586,"Dairy",75.3354,"OUT035","Small","Tier 2","Supermarket Type1",1334.12563150384
"1721","FDA34",11.5,"Low Fat",0.014890695,"Starchy Foods",174.108,"OUT045",NA,"Tier 2","Supermarket Type1",2722.05741997481
"1722","FDF26",6.825,"Regular",0.046595951,"Canned",153.0998,"OUT013","High","Tier 3","Supermarket Type1",2552.69717059813
"1723","FDE38",6.52,"Low Fat",0.044697626,"Canned",166.5842,"OUT045",NA,"Tier 2","Supermarket Type1",2614.92793178856
"1724","DRI11",8.26,"Low Fat",0.034404287,"Hard Drinks",113.5834,"OUT046","Small","Tier 1","Supermarket Type1",1834.51775707994
"1725","FDQ60",NA,"Regular",0.108844791,"Baking Goods",118.5098,"OUT027","Medium","Tier 3","Supermarket Type3",3399.54666403407
"1726","FDL21",NA,"Regular",0.007111808,"Snack Foods",39.348,"OUT027","Medium","Tier 3","Supermarket Type3",2154.73718596261
"1727","DRC12",NA,"Low Fat",0.037643694,"Soft Drinks",192.0188,"OUT027","Medium","Tier 3","Supermarket Type3",4473.89361823359
"1728","FDC47",15,"Low Fat",0.118890636,"Snack Foods",227.9694,"OUT046","Small","Tier 1","Supermarket Type1",3594.05513176887
"1729","FDE57",9.6,"Low Fat",0.036358713,"Fruits and Vegetables",140.0154,"OUT045",NA,"Tier 2","Supermarket Type1",2229.32867541071
"1730","FDT14",10.695,"Regular",0.127986136,"Dairy",120.344,"OUT045",NA,"Tier 2","Supermarket Type1",1862.22412337936
"1731","NCZ53",9.6,"Low Fat",0.024477166,"Health and Hygiene",189.6214,"OUT046","Small","Tier 1","Supermarket Type1",3010.84102921043
"1732","FDE28",9.5,"Regular",0.133086933,"Frozen Foods",230.1668,"OUT018","Medium","Tier 3","Supermarket Type2",3387.90201532397
"1733","FDR19",13.5,"Regular",0.159690469,"Fruits and Vegetables",144.2102,"OUT035","Small","Tier 2","Supermarket Type1",2519.670202001
"1734","NCF54",NA,"Low Fat",0.082951105,"Household",173.7422,"OUT019","Small","Tier 1","Grocery Store",820.745059734183
"1735","FDZ08",12.5,"Regular",0.109992376,"Fruits and Vegetables",81.1592,"OUT046","Small","Tier 1","Supermarket Type1",1397.12955705846
"1736","NCJ05",18.7,"Low Fat",0.046276017,"Health and Hygiene",154.2682,"OUT018","Medium","Tier 3","Supermarket Type2",2165.92809195178
"1737","FDF59",12.5,"Low Fat",0.071244009,"Starchy Foods",127.102,"OUT046","Small","Tier 1","Supermarket Type1",2064.51267605786
"1738","NCO05",7.27,"Low Fat",0.046550645,"Health and Hygiene",100.4384,"OUT035","Small","Tier 2","Supermarket Type1",1769.92305571727
"1739","FDW24",6.8,"Low Fat",0.037649797,"Baking Goods",49.5034,"OUT018","Medium","Tier 3","Supermarket Type2",564.691708908755
"1740","NCX42",6.36,"Low Fat",0.00600295,"Household",166.1526,"OUT018","Medium","Tier 3","Supermarket Type2",2344.9771722539
"1741","NCA53",11.395,"LF",0.009876591,"Health and Hygiene",48.2034,"OUT035","Small","Tier 2","Supermarket Type1",916.515097194957
"1742","FDI45",NA,"Low Fat",0.065799906,"Fruits and Vegetables",177.0054,"OUT019","Small","Tier 1","Grocery Store",945.481374292658
"1743","FDG46",8.63,"Regular",0.032909657,"Snack Foods",112.9518,"OUT046","Small","Tier 1","Supermarket Type1",1857.61893671172
"1744","FDM20",10,"Low Fat",0.064752101,"Fruits and Vegetables",243.3144,"OUT010",NA,"Tier 3","Grocery Store",1954.67358437594
"1745","FDW11",12.6,"Low Fat",0.081651205,"Breads",61.6194,"OUT010",NA,"Tier 3","Grocery Store",-878.212585687722
"1746","FDX08",12.85,"Low Fat",0.022599777,"Fruits and Vegetables",179.2318,"OUT035","Small","Tier 2","Supermarket Type1",3024.14029838316
"1747","NCK17",11,"Low Fat",0.03788768,"Health and Hygiene",40.648,"OUT035","Small","Tier 2","Supermarket Type1",832.121736299099
"1748","FDK32",16.25,"Regular",0.049175079,"Fruits and Vegetables",151.5682,"OUT018","Medium","Tier 3","Supermarket Type2",2208.71262951652
"1749","NCA42",6.965,"Low Fat",0.028543185,"Household",159.4604,"OUT035","Small","Tier 2","Supermarket Type1",2659.94228497172
"1750","DRI01",7.97,"Low Fat",0.034446434,"Soft Drinks",170.7422,"OUT035","Small","Tier 2","Supermarket Type1",2842.85034356851
"1751","NCL55",12.15,"LF",0,"Others",254.004,"OUT049","Medium","Tier 1","Supermarket Type1",4062.64954628341
"1752","DRE25",15.35,"Low Fat",0.073581718,"Soft Drinks",94.412,"OUT018","Medium","Tier 3","Supermarket Type2",1220.37838811498
"1753","FDD14",20.7,"Low Fat",0.170768961,"Canned",183.5266,"OUT017",NA,"Tier 2","Supermarket Type1",3052.20973275141
"1754","FDB10",10,"Low Fat",0.067208123,"Snack Foods",235.559,"OUT046","Small","Tier 1","Supermarket Type1",3721.67299739714
"1755","DRN11",7.85,"Low Fat",0.162949459,"Hard Drinks",145.0444,"OUT035","Small","Tier 2","Supermarket Type1",2467.98058012232
"1756","FDP38",10.1,"Low Fat",0.032232864,"Canned",50.9008,"OUT018","Medium","Tier 3","Supermarket Type2",606.078712629265
"1757","NCA30",19,"Low Fat",0.130065297,"Household",188.6872,"OUT017",NA,"Tier 2","Supermarket Type1",3008.92089292381
"1758","FDT15",12.15,"reg",0.042922946,"Meat",184.695,"OUT017",NA,"Tier 2","Supermarket Type1",3000.97722885433
"1759","NCP55",14.65,"Low Fat",0.011235608,"Others",57.0614,"OUT018","Medium","Tier 3","Supermarket Type2",650.538370397294
"1760","FDF12",8.235,"Low Fat",0.082412268,"Baking Goods",148.5076,"OUT035","Small","Tier 2","Supermarket Type1",2523.41931488169
"1761","FDM21",20.2,"Low Fat",0.06462627,"Snack Foods",256.2646,"OUT018","Medium","Tier 3","Supermarket Type2",3747.32161057757
"1762","FDX56",17.1,"Regular",0.07404547,"Fruits and Vegetables",205.8638,"OUT035","Small","Tier 2","Supermarket Type1",3472.58710133209
"1763","FDF10",15.5,"Regular",0.157816029,"Snack Foods",145.4418,"OUT017",NA,"Tier 2","Supermarket Type1",2474.70024601724
"1764","FDT32",19,"Regular",0.065767041,"Fruits and Vegetables",189.6214,"OUT045",NA,"Tier 2","Supermarket Type1",2997.12902869446
"1765","FDM51",11.8,"Regular",0.026031835,"Meat",101.2674,"OUT018","Medium","Tier 3","Supermarket Type2",1405.40432477348
"1766","NCR50",20.2,"Low Fat",0.011868237,"Household",154.434,"OUT018","Medium","Tier 3","Supermarket Type2",2136.33562640001
"1767","FDI19",15.1,"Low Fat",0.052420442,"Meat",242.4512,"OUT049","Medium","Tier 1","Supermarket Type1",3929.09155299762
"1768","FDX21",7.05,"Low Fat",0.085446623,"Snack Foods",107.8912,"OUT017",NA,"Tier 2","Supermarket Type1",1828.18682526118
"1769","FDR31",6.46,"Regular",0.049153588,"Fruits and Vegetables",145.3102,"OUT035","Small","Tier 2","Supermarket Type1",2550.13215120424
"1770","FDY02",8.945,"Regular",0.08757299,"Dairy",261.191,"OUT013","High","Tier 3","Supermarket Type1",4164.37514893177
"1771","NCA29",10.5,"Low Fat",0,"Household",170.6106,"OUT045",NA,"Tier 2","Supermarket Type1",2607.79642030252
"1772","NCX17",21.25,"Low Fat",0.113603432,"Health and Hygiene",231.73,"OUT046","Small","Tier 1","Supermarket Type1",3644.25613351304
"1773","FDM12",16.7,"Regular",0.070058787,"Baking Goods",190.3214,"OUT045",NA,"Tier 2","Supermarket Type1",2981.19022080945
"1774","FDI53",NA,"Regular",0.136978402,"Frozen Foods",160.4236,"OUT027","Medium","Tier 3","Supermarket Type3",4023.45188724494
"1775","NCU30",5.11,"Low Fat",0,"Household",164.121,"OUT049","Medium","Tier 1","Supermarket Type1",2689.83557824525
"1776","FDC56",NA,"Low Fat",0.120932251,"Fruits and Vegetables",121.044,"OUT027","Medium","Tier 3","Supermarket Type3",3425.55095691275
"1777","FDK27",11,"Low Fat",0.00898298,"Meat",123.0756,"OUT018","Medium","Tier 3","Supermarket Type2",1704.47072434894
"1778","NCK18",9.6,"Low Fat",0.00673599,"Household",166.4184,"OUT017",NA,"Tier 2","Supermarket Type1",2680.08123281414
"1779","FDB52",NA,"Low Fat",0.053288809,"Dairy",257.5672,"OUT019","Small","Tier 1","Grocery Store",2119.51078382579
"1780","DRG25",NA,"Low Fat",0.018957442,"Soft Drinks",188.324,"OUT027","Medium","Tier 3","Supermarket Type3",4414.21326593489
"1781","FDZ13",7.84,"reg",0.153733623,"Canned",51.935,"OUT049","Medium","Tier 1","Supermarket Type1",938.374720773147
"1782","FDB57",NA,"Regular",0.032925311,"Fruits and Vegetables",223.5772,"OUT019","Small","Tier 1","Grocery Store",1705.79754075584
"1783","FDR40",9.1,"Regular",0.008034387,"Frozen Foods",82.5618,"OUT046","Small","Tier 1","Supermarket Type1",1368.29134666426
"1784","NCO14",NA,"Low Fat",0.051902594,"Household",44.7086,"OUT019","Small","Tier 1","Grocery Store",-1178.55284947889
"1785","NCN19",13.1,"Low Fat",0.012124086,"Others",190.753,"OUT045",NA,"Tier 2","Supermarket Type1",2935.86805652881
"1786","FDQ28",NA,"Regular",0.105799985,"Frozen Foods",155.0656,"OUT019","Small","Tier 1","Grocery Store",583.382706805772
"1787","FDO13",7.865,"Low Fat",0.061308404,"Breakfast",164.8526,"OUT018","Medium","Tier 3","Supermarket Type2",2362.0708186966
"1788","FDK48",7.445,"Low Fat",0,"Baking Goods",77.2354,"OUT013","High","Tier 3","Supermarket Type1",1302.75468637537
"1789","FDU07",11.1,"Low Fat",0.060090767,"Fruits and Vegetables",152.5366,"OUT018","Medium","Tier 3","Supermarket Type2",2191.61583625518
"1790","FDW20",20.75,"Low Fat",0,"Fruits and Vegetables",123.373,"OUT046","Small","Tier 1","Supermarket Type1",1996.69504524232
"1791","FDV12",16.7,"Regular",0.101891731,"Baking Goods",98.7384,"OUT010",NA,"Tier 3","Grocery Store",-269.327615798274
"1792","FDH24",20.7,"Low Fat",0.021413299,"Baking Goods",158.2288,"OUT013","High","Tier 3","Supermarket Type1",2538.43348453457
"1793","FDV59",13.35,"Low Fat",0.048101713,"Breads",216.0166,"OUT049","Medium","Tier 1","Supermarket Type1",3521.53648821705
"1794","FDK57",10.195,"Low Fat",0.080455726,"Snack Foods",120.144,"OUT045",NA,"Tier 2","Supermarket Type1",1848.60851476586
"1795","FDL16",NA,"Low Fat",0.16763712,"Frozen Foods",45.506,"OUT027","Medium","Tier 3","Supermarket Type3",2189.32471985935
"1796","NCQ17",10.3,"Low Fat",0.116932555,"Health and Hygiene",155.463,"OUT046","Small","Tier 1","Supermarket Type1",2477.7841024782
"1797","FDJ15",11.35,"Regular",0.023417483,"Dairy",185.1608,"OUT018","Medium","Tier 3","Supermarket Type2",2668.69389159309
"1798","FDX24",8.355,"Low Fat",0,"Baking Goods",93.5462,"OUT049","Medium","Tier 1","Supermarket Type1",1621.45790146296
"1799","FDT47",5.26,"Regular",0,"Breads",96.3068,"OUT046","Small","Tier 1","Supermarket Type1",1618.5438958472
"1800","FDT10",16.7,"Regular",0.062140968,"Snack Foods",60.8562,"OUT049","Medium","Tier 1","Supermarket Type1",1128.15022213691
"1801","FDZ37",8.1,"Regular",0.019849032,"Canned",87.7198,"OUT018","Medium","Tier 3","Supermarket Type2",1224.94447762912
"1802","FDW43",NA,"Regular",0.022316641,"Fruits and Vegetables",229.5036,"OUT027","Medium","Tier 3","Supermarket Type3",5152.43942562403
"1803","DRN36",15.2,"Low Fat",0.050461669,"Soft Drinks",95.5752,"OUT017",NA,"Tier 2","Supermarket Type1",1640.44982091798
"1804","FDJ14",10.3,"Regular",0.05017202,"Canned",80.596,"OUT045",NA,"Tier 2","Supermarket Type1",1311.1500260801
"1805","FDA32",14,"Low Fat",0.030069149,"Fruits and Vegetables",217.4192,"OUT013","High","Tier 3","Supermarket Type1",3503.71533138755
"1806","FDJ38",NA,"Regular",0.070394702,"Canned",190.053,"OUT019","Small","Tier 1","Grocery Store",1184.19106300459
"1807","FDQ57",7.275,"Low Fat",0,"Snack Foods",146.776,"OUT017",NA,"Tier 2","Supermarket Type1",2469.12391642079
"1808","NCQ41",NA,"Low Fat",0,"Health and Hygiene",193.5794,"OUT019","Small","Tier 1","Grocery Store",1162.85471685626
"1809","FDG56",13.3,"Regular",0.071563651,"Fruits and Vegetables",59.9536,"OUT049","Medium","Tier 1","Supermarket Type1",1162.28801244657
"1810","DRC13",NA,"Regular",0.032284472,"Soft Drinks",123.973,"OUT027","Medium","Tier 3","Supermarket Type3",3458.34492291351
"1811","FDV55",17.75,"Low Fat",0.055063016,"Fruits and Vegetables",144.5444,"OUT035","Small","Tier 2","Supermarket Type1",2474.89090135378
"1812","FDQ49",20.2,"Regular",0,"Breakfast",157.363,"OUT045",NA,"Tier 2","Supermarket Type1",2465.30853298347
"1813","FDE29",8.905,"Low Fat",0.239568811,"Frozen Foods",60.4878,"OUT010",NA,"Tier 3","Grocery Store",-881.781938863694
"1814","FDR03",15.7,"Regular",0,"Meat",205.798,"OUT013","High","Tier 3","Supermarket Type1",3332.79424605313
"1815","FDD45",8.615,"Low Fat",0,"Fruits and Vegetables",92.9436,"OUT049","Medium","Tier 1","Supermarket Type1",1642.77808136956
"1816","FDN38",6.615,"Regular",0.153942031,"Canned",249.7408,"OUT010",NA,"Tier 3","Grocery Store",2126.2632533307
"1817","FDT56",16,"Regular",0.115592409,"Fruits and Vegetables",58.1246,"OUT046","Small","Tier 1","Supermarket Type1",1031.92738034646
"1818","FDT48",4.92,"low fat",0.046048229,"Baking Goods",200.0084,"OUT045",NA,"Tier 2","Supermarket Type1",3159.38234046351
"1819","FDU03",18.7,"Regular",0.091720302,"Meat",180.8292,"OUT049","Medium","Tier 1","Supermarket Type1",3004.95393046849
"1820","FDC56",7.72,"LF",0.203400773,"Fruits and Vegetables",118.944,"OUT010",NA,"Tier 3","Grocery Store",-9.50278362229337
"1821","NCO43",NA,"Low Fat",0.046870135,"Others",99.3016,"OUT027","Medium","Tier 3","Supermarket Type3",3043.17111742801
"1822","FDQ27",5.19,"Regular",0.044502932,"Meat",101.699,"OUT017",NA,"Tier 2","Supermarket Type1",1761.75210464862
"1823","FDR03",15.7,"Regular",0.008735936,"Meat",205.998,"OUT046","Small","Tier 1","Supermarket Type1",3305.65741636339
"1824","DRH23",14.65,"Low Fat",0.285077835,"Hard Drinks",54.1614,"OUT010",NA,"Tier 3","Grocery Store",-1032.05969516436
"1825","FDG22",17.6,"Regular",0.041465078,"Snack Foods",38.119,"OUT045",NA,"Tier 2","Supermarket Type1",599.655934867332
"1826","NCJ42",19.75,"Low Fat",0.014289425,"Household",103.8332,"OUT013","High","Tier 3","Supermarket Type1",1657.09681284205
"1827","FDR24",17.35,"Regular",0.062851683,"Baking Goods",90.583,"OUT046","Small","Tier 1","Supermarket Type1",1503.44368883601
"1828","FDW60",5.44,"Regular",0.017058723,"Baking Goods",176.037,"OUT035","Small","Tier 2","Supermarket Type1",2999.18374446474
"1829","FDJ08",11.1,"Low Fat",0.110580006,"Fruits and Vegetables",190.0846,"OUT013","High","Tier 3","Supermarket Type1",3083.70277993713
"1830","DRL59",16.75,"Low Fat",0.021310584,"Hard Drinks",52.2298,"OUT018","Medium","Tier 3","Supermarket Type2",586.022386908759
"1831","FDG60",20.35,"Low Fat",0.101598896,"Baking Goods",232.7616,"OUT010",NA,"Tier 3","Grocery Store",1739.59885012469
"1832","FDW27",5.86,"Regular",0,"Meat",155.9314,"OUT017",NA,"Tier 2","Supermarket Type1",2633.2136632376
"1833","FDX14",13.1,"Low Fat",0.075245304,"Dairy",77.1354,"OUT018","Medium","Tier 3","Supermarket Type2",941.859236017694
"1834","FDC20",10.65,"Low Fat",0.023951515,"Fruits and Vegetables",56.0272,"OUT013","High","Tier 3","Supermarket Type1",997.735553078131
"1835","NCS29",9,"Low Fat",0.069828759,"Health and Hygiene",263.6884,"OUT018","Medium","Tier 3","Supermarket Type2",3887.60871282558
"1836","FDJ56",8.985,"Low Fat",0.183403018,"Fruits and Vegetables",100.47,"OUT046","Small","Tier 1","Supermarket Type1",1662.46399895551
"1837","FDB20",NA,"Low Fat",0.091011438,"Fruits and Vegetables",77.0986,"OUT019","Small","Tier 1","Grocery Store",-614.000302827194
"1838","FDL28",NA,"Regular",0.062868628,"Frozen Foods",228.6668,"OUT027","Medium","Tier 3","Supermarket Type3",5084.60852331043
"1839","FDW01",14.5,"Low Fat",0.064321473,"Canned",151.7682,"OUT018","Medium","Tier 3","Supermarket Type2",2167.90595376218
"1840","FDL03",19.25,"Regular",0.027080602,"Meat",197.611,"OUT046","Small","Tier 1","Supermarket Type1",3168.37404449211
"1841","FDX22",6.785,"Regular",0.023010532,"Snack Foods",209.1928,"OUT049","Medium","Tier 1","Supermarket Type1",3456.03479212167
"1842","FDJ21",16.7,"Regular",0.038520943,"Snack Foods",144.6102,"OUT035","Small","Tier 2","Supermarket Type1",2478.08757092721
"1843","FDR31",6.46,"Regular",0.049262588,"Fruits and Vegetables",147.6102,"OUT045",NA,"Tier 2","Supermarket Type1",2366.91639378786
"1844","FDG21",17.35,"Regular",0.146272238,"Seafood",151.505,"OUT035","Small","Tier 2","Supermarket Type1",2776.59279237329
"1845","FDS22",NA,"Regular",0.023042273,"Snack Foods",42.6428,"OUT027","Medium","Tier 3","Supermarket Type3",2205.95851290713
"1846","FDK08",9.195,"Regular",0.122281599,"Fruits and Vegetables",99.4016,"OUT035","Small","Tier 2","Supermarket Type1",1830.30868273212
"1847","FDE17",20.1,"Regular",0.054677324,"Frozen Foods",151.7366,"OUT018","Medium","Tier 3","Supermarket Type2",2146.92554371254
"1848","NCN30",16.35,"Low Fat",0.017089325,"Household",95.841,"OUT017",NA,"Tier 2","Supermarket Type1",1633.2157236534
"1849","FDT50",6.75,"Regular",0.108238986,"Dairy",97.2752,"OUT046","Small","Tier 1","Supermarket Type1",1586.66982076528
"1850","NCX42",6.36,"Low Fat",0.005987891,"Household",163.6526,"OUT049","Medium","Tier 1","Supermarket Type1",2680.17580368428
"1851","FDJ12",8.895,"Regular",0.039033732,"Baking Goods",207.8296,"OUT035","Small","Tier 2","Supermarket Type1",3487.54070514602
"1852","NCA18",NA,"Low Fat",0.055806016,"Household",117.4492,"OUT027","Medium","Tier 3","Supermarket Type3",3302.95502601857
"1853","FDP23",NA,"Low Fat",0.062307997,"Breads",217.4166,"OUT019","Small","Tier 1","Grocery Store",1543.61571001797
"1854","FDX12",18.2,"reg",0,"Baking Goods",241.4196,"OUT013","High","Tier 3","Supermarket Type1",3775.96915803716
"1855","FDN40",5.88,"Low Fat",0.086808977,"Frozen Foods",152.7998,"OUT018","Medium","Tier 3","Supermarket Type2",2148.48937576071
"1856","FDV48",9.195,"Regular",0.051607098,"Baking Goods",77.8644,"OUT035","Small","Tier 2","Supermarket Type1",1463.85415390664
"1857","NCY54",8.43,"Low Fat",0.177546973,"Household",171.9422,"OUT013","High","Tier 3","Supermarket Type1",2738.77132737142
"1858","FDL16",12.85,"Low Fat",0.281955554,"Frozen Foods",46.006,"OUT010",NA,"Tier 3","Grocery Store",-1114.68911730366
"1859","FDR45",10.8,"Low Fat",0.029061192,"Snack Foods",240.0222,"OUT018","Medium","Tier 3","Supermarket Type2",3512.29259493348
"1860","FDJ52",7.145,"Low Fat",0.017786864,"Frozen Foods",161.0578,"OUT046","Small","Tier 1","Supermarket Type1",2551.9832409226
"1861","DRG01",14.8,"Low Fat",0.04513213,"Soft Drinks",77.167,"OUT017",NA,"Tier 2","Supermarket Type1",1354.65435058804
"1862","FDP52",18.7,"Regular",0.070632902,"Frozen Foods",231.201,"OUT013","High","Tier 3","Supermarket Type1",3694.16149648269
"1863","FDU58",6.61,"Regular",0.029175827,"Snack Foods",186.5898,"OUT017",NA,"Tier 2","Supermarket Type1",3132.07915620655
"1864","FDL02",20,"Regular",0.10429446,"Canned",105.5622,"OUT045",NA,"Tier 2","Supermarket Type1",1681.41066224351
"1865","FDG28",9.285,"Regular",0.049239282,"Frozen Foods",244.1144,"OUT013","High","Tier 3","Supermarket Type1",3913.01799474809
"1866","FDA19",7.52,"Low Fat",0.055117075,"Fruits and Vegetables",128.7994,"OUT035","Small","Tier 2","Supermarket Type1",2249.17731895277
"1867","FDW46",NA,"Regular",0.069961219,"Snack Foods",66.4484,"OUT027","Medium","Tier 3","Supermarket Type3",2576.87319941998
"1868","NCD43",8.85,"Low Fat",0.016044864,"Household",103.1964,"OUT049","Medium","Tier 1","Supermarket Type1",1734.35965789962
"1869","DRG39",14.15,"Low Fat",0.042145893,"Dairy",51.7982,"OUT013","High","Tier 3","Supermarket Type1",853.047092787743
"1870","NCF55",6.675,"Low Fat",0.021700021,"Household",35.5874,"OUT049","Medium","Tier 1","Supermarket Type1",686.037399161025
"1871","FDJ07",7.26,"LF",0.014423523,"Meat",118.015,"OUT046","Small","Tier 1","Supermarket Type1",1877.65181219261
"1872","FDE08",18.2,"LF",0.049319685,"Fruits and Vegetables",150.0734,"OUT046","Small","Tier 1","Supermarket Type1",2384.6911224838
"1873","FDP56",NA,"Low Fat",0.081387725,"Fruits and Vegetables",49.6692,"OUT019","Small","Tier 1","Grocery Store",-1035.78047685074
"1874","FDT45",15.85,"Low Fat",0.057429676,"Snack Foods",53.2956,"OUT045",NA,"Tier 2","Supermarket Type1",797.29073803656
"1875","FDF17",5.19,"Low Fat",0.042794507,"Frozen Foods",195.011,"OUT018","Medium","Tier 3","Supermarket Type2",2806.88218721284
"1876","FDX44",9.3,"Low Fat",0.042966544,"Fruits and Vegetables",87.7172,"OUT046","Small","Tier 1","Supermarket Type1",1463.34925015915
"1877","FDM28",NA,"Low Fat",0.044984953,"Frozen Foods",179.866,"OUT027","Medium","Tier 3","Supermarket Type3",4281.69139640905
"1878","FDI36",12.5,"Regular",0.062440359,"Baking Goods",197.9426,"OUT049","Medium","Tier 1","Supermarket Type1",3280.63206938616
"1879","FDS07",12.35,"Low Fat",0.099960144,"Fruits and Vegetables",115.2518,"OUT045",NA,"Tier 2","Supermarket Type1",1838.63284601169
"1880","FDD36",13.3,"Low Fat",0.021316704,"Baking Goods",117.7124,"OUT045",NA,"Tier 2","Supermarket Type1",1815.42669857777
"1881","FDW11",12.6,"Low Fat",0.048782082,"Breads",60.5194,"OUT046","Small","Tier 1","Supermarket Type1",1005.61896319299
"1882","FDN40",5.88,"Low Fat",0.086591206,"Frozen Foods",154.4998,"OUT049","Medium","Tier 1","Supermarket Type1",2549.06778728458
"1883","NCQ18",15.75,"Low Fat",0.135282803,"Household",97.87,"OUT049","Medium","Tier 1","Supermarket Type1",1638.3722276961
"1884","NCQ54",17.7,"Low Fat",0.01261332,"Household",166.5474,"OUT017",NA,"Tier 2","Supermarket Type1",2731.31713934613
"1885","NCS42",8.6,"Low Fat",0.069557245,"Household",91.5146,"OUT045",NA,"Tier 2","Supermarket Type1",1380.13942107601
"1886","DRH39",20.7,"Low Fat",0.1551444,"Dairy",75.867,"OUT010",NA,"Tier 3","Grocery Store",-744.414581813293
"1887","FDC09",NA,"Regular",0.026174636,"Fruits and Vegetables",103.7332,"OUT027","Medium","Tier 3","Supermarket Type3",3191.29985619884
"1888","FDT08",13.65,"Low Fat",0.082381676,"Fruits and Vegetables",150.805,"OUT010",NA,"Tier 3","Grocery Store",507.699787249969
"1889","FDC08",19,"Regular",0,"Fruits and Vegetables",225.272,"OUT035","Small","Tier 2","Supermarket Type1",3771.10713906706
"1890","FDT20",10.5,"Low Fat",0.041629595,"Fruits and Vegetables",37.3164,"OUT017",NA,"Tier 2","Supermarket Type1",736.269516916176
"1891","FDS35",9.3,"Low Fat",0.111199491,"Breads",64.0826,"OUT035","Small","Tier 2","Supermarket Type1",1210.28317062735
"1892","FDX58",13.15,"Low Fat",0.043941955,"Snack Foods",182.295,"OUT018","Medium","Tier 3","Supermarket Type2",2609.22299730622
