"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"1521","FDM51",11.8,"Regular","Meat",99.9674,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1783.11170513093
"1522","DRM49",6.11,"Regular","Soft Drinks",45.1086,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",459.779236375965
"1523","DRF23",4.61,"Low Fat","Hard Drinks",176.1396,"OUT013",1987,"High","Tier 3","Supermarket Type1",2756.55471366978
"1524","DRH01",17.5,"Low Fat","Soft Drinks",172.6738,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2756.69262511729
"1525","FDH12",13.8559254131037,"Low Fat","Baking Goods",107.128,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3134.12474158323
"1526","FDA28",13.4021026999405,"Regular","Frozen Foods",124.8362,"OUT019",1985,"Small","Tier 1","Grocery Store",259.162905876269
"1527","FDW37",19.2,"Low Fat","Canned",90.3488,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",710.921362908506
"1528","FDF02",16.2,"Low Fat","Canned",103.799,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1685.06842014422
"1529","DRL37",15.5,"Low Fat","Soft Drinks",43.377,"OUT046",1997,"Small","Tier 1","Supermarket Type1",563.18258620064
"1530","NCF43",8.51,"low fat","Household",141.547,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2304.92091456453
"1531","FDH08",7.51,"Low Fat","Fruits and Vegetables",228.201,"OUT010",1998,"Small","Tier 3","Grocery Store",1328.07507000306
"1532","FDR34",9.85848233633443,"Regular","Snack Foods",229.4352,"OUT019",1985,"Small","Tier 1","Grocery Store",3188.25647540111
"1533","NCK19",9.8,"LF","Others",195.0478,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2899.87671342195
"1534","NCD55",14,"Low Fat","Household",42.6454,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",223.142624440888
"1535","FDT27",11.395,"Regular","Meat",233.7616,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3476.30446748479
"1536","FDQ57",7.275,"Low Fat","Snack Foods",146.976,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",2192.36586959565
"1537","FDA47",10.5,"Regular","Baking Goods",162.421,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2826.65178320083
"1538","DRG15",13.6582211573272,"Low Fat","Dairy",63.0536,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2581.64323519952
"1539","FDE05",10.895,"Regular","Frozen Foods",145.6102,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2175.77862181743
"1540","FDN46",7.21,"reg","Snack Foods",100.6332,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1978.29620138131
"1541","FDX27",13.9197207502725,"Regular","Dairy",92.6436,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3167.64010195849
"1542","FDT51",11.65,"Regular","Meat",110.4544,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",1541.08932198728
"1543","FDU33",7.63,"Regular","Snack Foods",44.7402,"OUT013",1987,"High","Tier 3","Supermarket Type1",1149.4881267792
"1544","FDJ16",10.5021444037557,"Low Fat","Frozen Foods",59.4246,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2537.01954441961
"1545","FDD20",12.3112638200596,"Low Fat","Fruits and Vegetables",122.5046,"OUT019",1985,"Small","Tier 1","Grocery Store",834.102676466938
"1546","FDT36",12.3,"Low Fat","Baking Goods",33.4874,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",866.815524782508
"1547","DRF15",14.766080983924,"Low Fat","Dairy",152.334,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2997.67811246851
"1548","FDN52",9.395,"Regular","Frozen Foods",88.1198,"OUT010",1998,"Small","Tier 3","Grocery Store",-1655.0623727615
"1549","FDC22",13.1320835443629,"Regular","Snack Foods",191.282,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4210.63236147173
"1550","FDX15",17.2,"Low Fat","Meat",160.6578,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",1944.33568762162
"1551","FDT13",14.85,"Low Fat","Canned",187.1214,"OUT013",1987,"High","Tier 3","Supermarket Type1",3190.72415197863
"1552","FDU04",7.93,"Low Fat","Frozen Foods",121.1414,"OUT017",2007,"High","Tier 2","Supermarket Type1",2172.70179870639
"1553","FDU31",12.8869764708978,"Regular","Fruits and Vegetables",216.3508,"OUT019",1985,"Small","Tier 1","Grocery Store",1035.62983246157
"1554","FDW59",12.4940629758162,"Low Fat","Breads",85.4566,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2850.47334475223
"1555","NCO29",11.15,"Low Fat","Health and Hygiene",165.1526,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2196.04382209739
"1556","FDL15",17.85,"Low Fat","Meat",152.3682,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2093.58093181067
"1557","FDI41",18.5,"Regular","Frozen Foods",145.4418,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2698.29620502804
"1558","FDQ48",14.3,"Regular","Baking Goods",98.7726,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1239.30945542139
"1559","DRI39",13.8,"Low Fat","Dairy",55.593,"OUT013",1987,"High","Tier 3","Supermarket Type1",1412.61175113138
"1560","FDI08",18.2,"Regular","Fruits and Vegetables",250.9092,"OUT013",1987,"High","Tier 3","Supermarket Type1",3867.01336512388
"1561","FDC21",14.6,"Regular","Fruits and Vegetables",110.0254,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1758.88707480817
"1562","FDF58",13.3,"Low Fat","Snack Foods",62.351,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1300.28301265449
"1563","FDS08",5.735,"Low Fat","Fruits and Vegetables",178.037,"OUT010",1998,"High","Tier 3","Grocery Store",-264.011181603674
"1564","FDE47",14.15,"Low Fat","Starchy Foods",123.1046,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",1778.4691504364
"1565","NCP18",13.0751918087815,"Low Fat","Household",152.4708,"OUT019",1985,"Small","Tier 1","Grocery Store",790.79646339859
"1566","NCR41",17.85,"Low Fat","Health and Hygiene",96.8094,"OUT013",1987,"High","Tier 3","Supermarket Type1",1738.56513956402
"1567","FDA27",20.35,"Regular","Dairy",254.2672,"OUT013",1987,"High","Tier 3","Supermarket Type1",3134.33111616687
"1568","FDA43",10.895,"low fat","Fruits and Vegetables",194.0794,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2773.8586623702
"1569","FDA49",19.7,"Low Fat","Canned",86.6198,"OUT045",2002,"High","Tier 2","Supermarket Type1",1364.13943532419
"1570","NCE55",8.92,"Low Fat","Household",178.137,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3287.14252349984
"1571","DRM49",7.18496097877088,"Regular","Soft Drinks",45.9086,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2166.97753987983
"1572","FDF22",13.7786130740965,"Low Fat","Snack Foods",214.2218,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4806.63446008908
"1573","FDQ15",20.35,"Regular","Meat",80.6276,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1133.62383182163
"1574","NCS54",13.6,"Low Fat","Household",174.937,"OUT017",2007,"High","Tier 2","Supermarket Type1",3738.40188003962
"1575","NCY05",13.5,"Low Fat","Health and Hygiene",36.3874,"OUT013",1987,"High","Tier 3","Supermarket Type1",409.047330844647
"1576","FDR45",10.8,"Low Fat","Snack Foods",239.6222,"OUT046",1997,"Small","Tier 1","Supermarket Type1",5653.01741389842
"1577","FDK57",10.195,"Low Fat","Snack Foods",121.244,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3127.7782705594
"1578","FDF41",12.15,"Low Fat","Frozen Foods",248.346,"OUT010",1998,"Small","Tier 3","Grocery Store",1879.35032026123
"1579","FDV21",11.5,"Low Fat","Snack Foods",125.6704,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2179.73827060078
"1580","FDD51",11.15,"Low Fat","Dairy",45.2744,"OUT046",1997,"Small","Tier 1","Supermarket Type1",491.660340029518
"1581","FDF33",7.97,"Low Fat","Seafood",109.6596,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1981.32877102716
"1582","FDA38",5.44,"Low Fat","Dairy",238.5538,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2458.46050979481
"1583","FDR56",15.5,"Regular","Fruits and Vegetables",195.8768,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",4070.89826692651
"1584","NCN41",17,"Low Fat","Health and Hygiene",121.673,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2028.79581981654
"1585","FDC60",8.399316788662,"Regular","Baking Goods",87.9514,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3502.90941044783
"1586","FDB47",8.8,"Low Fat","Snack Foods",207.9612,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",2169.3416220654
"1587","DRH01",17.5,"Low Fat","Soft Drinks",175.4738,"OUT013",1987,"High","Tier 3","Supermarket Type1",2630.30046707497
"1588","FDW08",12.1,"Low Fat","Fruits and Vegetables",104.928,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1124.51899534998
"1589","FDF38",11.7346564572413,"Regular","Canned",39.1138,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1811.45747621638
"1590","FDY32",7.605,"Low Fat","Fruits and Vegetables",162.921,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",3091.31938872462
"1591","FDG34",11.5,"Regular","Snack Foods",109.5254,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1468.550367344
"1592","FDG47",14.5261233951979,"Low Fat","Starchy Foods",261.3252,"OUT019",1985,"Small","Tier 1","Grocery Store",2156.6892336896
"1593","NCF18",18.35,"Low Fat","Household",189.8504,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3962.30077953752
"1594","FDL39",15.0054241249779,"Regular","Dairy",181.3318,"OUT019",1985,"Small","Tier 1","Grocery Store",249.626773873003
"1595","NCH55",16.35,"Low Fat","Household",125.902,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2003.61009312806
"1596","DRJ35",10.1,"Low Fat","Hard Drinks",60.7878,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",728.599182513482
"1597","FDS44",12.65,"Regular","Fruits and Vegetables",238.9538,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4854.47556316467
"1598","DRE01",10.1,"LF","Soft Drinks",241.0512,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3488.35492492175
"1599","FDY39",5.305,"Regular","Meat",184.3608,"OUT013",1987,"High","Tier 3","Supermarket Type1",3952.95878753109
"1600","FDY32",7.605,"Low Fat","Fruits and Vegetables",161.821,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2712.73953613711
"1601","FDR33",15.1032568510072,"Low Fat","Snack Foods",111.157,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3364.82902329863
"1602","NCP50",17.35,"Low Fat","Others",81.0618,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1263.87464389895
"1603","FDZ47",20.7,"Regular","Baking Goods",98.6042,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1185.78108734842
"1604","FDU57",8.27,"Regular","Snack Foods",152.2708,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2468.99232906687
"1605","FDY44",14.15,"Regular","Fruits and Vegetables",194.411,"OUT013",1987,"High","Tier 3","Supermarket Type1",2978.31988032042
"1606","DRH59",10.8,"Low Fat","Hard Drinks",73.838,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",952.862907925527
"1607","FDB03",14.1404260583725,"Regular","Dairy",240.2538,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5150.76769903706
"1608","FDY46",18.6,"Low Fat","Snack Foods",186.8898,"OUT045",2002,"High","Tier 2","Supermarket Type1",3338.62291322719
"1609","FDM39",6.42,"LF","Dairy",177.3002,"OUT045",2002,"High","Tier 2","Supermarket Type1",3895.06388683778
"1610","FDY36",12.3,"Low Fat","Baking Goods",74.838,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1302.91369776759
"1611","NCM55",15.6,"Low Fat","Others",184.2924,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3141.38307100415
"1612","FDJ50",8.645,"Low Fat","Canned",52.6982,"OUT010",1998,"Medium","Tier 3","Grocery Store",-1077.08571826177
"1613","DRL60",8.52,"Low Fat","Soft Drinks",150.8682,"OUT013",1987,"High","Tier 3","Supermarket Type1",2219.44528463908
"1614","NCJ54",9.895,"Low Fat","Household",232.2642,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4639.41560333289
"1615","FDX59",10.195,"Low Fat","Breads",33.8558,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",445.994594524203
"1616","FDI07",12.35,"Regular","Meat",199.0426,"OUT013",1987,"High","Tier 3","Supermarket Type1",3146.31536223119
"1617","DRF51",15.75,"Low Fat","Dairy",39.6506,"OUT010",1998,"Small","Tier 3","Grocery Store",-1120.05397433703
"1618","FDM14",13.8,"Low Fat","Canned",109.7254,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1676.56865292565
"1619","FDP21",7.42,"Regular","Snack Foods",187.9872,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",3716.25267615875
"1620","FDE40",15.6,"Regular","Dairy",63.0194,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1268.54789725067
"1621","FDE05",10.895,"Regular","Frozen Foods",146.9102,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2617.52642914461
"1622","FDM13",11.4229415089985,"Low Fat","Breakfast",132.8626,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2631.85711032117
"1623","FDC34",14.0125695726675,"Regular","Snack Foods",156.7972,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4698.96205586365
"1624","NCI55",18.6,"Low Fat","Household",122.8414,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2198.08927654651
"1625","NCE43",12.5,"Low Fat","Household",168.8448,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2657.53848856819
"1626","FDW58",20.75,"Low Fat","Snack Foods",107.0622,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1354.90225221061
"1627","FDG60",20.35,"Low Fat","Baking Goods",234.6616,"OUT045",2002,"High","Tier 2","Supermarket Type1",4229.2145366494
"1628","FDV31",9.8,"Low Fat","Fruits and Vegetables",176.337,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2290.87948708255
"1629","FDR47",17.85,"low fat","Breads",194.2794,"OUT013",1987,"High","Tier 3","Supermarket Type1",3095.42428497338
"1630","FDM60",10.8558804377604,"Regular","Baking Goods",40.6138,"OUT019",1985,"Small","Tier 1","Grocery Store",-1227.28694497306
"1631","NCF06",6.235,"Low Fat","Household",258.4962,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2599.91198407741
"1632","NCN26",10.401090621954,"Low Fat","Household",117.0808,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3717.0709132573
"1633","FDQ59",9.8,"Regular","Breads",85.6908,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1188.90998884886
"1634","FDF09",6.215,"Low Fat","Fruits and Vegetables",36.5848,"OUT046",1997,"Small","Tier 1","Supermarket Type1",206.75194139847
"1635","NCS06",7.935,"Low Fat","Household",264.791,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",3352.90081880875
"1636","FDT44",16.6,"Low Fat","Fruits and Vegetables",117.9466,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1542.73456437364
"1637","FDI19",15.1,"Low Fat","Meat",244.2512,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",4043.4223922003
"1638","FDT22",10.395,"Low Fat","Snack Foods",59.922,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",861.370557335969
"1639","NCF54",15.215867045958,"Low Fat","Household",170.8422,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4243.28381385186
"1640","DRG25",10.5,"Low Fat","Soft Drinks",185.924,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",4400.88447361683
"1641","FDB59",18.25,"Low Fat","Snack Foods",197.3084,"OUT017",2007,"High","Tier 2","Supermarket Type1",2410.65904662539
"1642","FDQ37",20.75,"Low Fat","Breakfast",194.6478,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",4968.04981384111
"1643","FDP56",8.185,"Low Fat","Fruits and Vegetables",47.9692,"OUT035",2004,"Small","Tier 2","Supermarket Type1",882.496328858291
"1644","FDW44",9.5,"Regular","Fruits and Vegetables",171.8448,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2400.25458249571
"1645","FDJ26",15.3,"Regular","Canned",215.1218,"OUT010",1998,"High","Tier 3","Grocery Store",577.182734320596
"1646","FDU43",19.35,"Regular","Fruits and Vegetables",237.4564,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1795.24449508907
"1647","FDW33",9.395,"Low Fat","Snack Foods",104.928,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",1468.32230393474
"1648","NCX53",15.7629032103717,"Low Fat","Health and Hygiene",143.2154,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4554.71218733201
"1649","FDN56",5.46,"Regular","Fruits and Vegetables",146.2786,"OUT010",1998,"Small","Tier 3","Grocery Store",942.402038780289
"1650","DRF15",18.35,"Low Fat","Dairy",152.334,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1588.04264979005
"1651","FDO33",14.75,"Low Fat","Snack Foods",114.4518,"OUT017",2007,"High","Tier 2","Supermarket Type1",2265.87132997547
"1652","FDZ39",19.7,"Regular","Meat",103.799,"OUT010",1998,"Medium","Tier 3","Grocery Store",-914.372919953837
"1653","NCJ19",18.6,"Low Fat","Others",55.3588,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1534.84144473392
"1654","FDU01",20.25,"Regular","Canned",184.6924,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3291.70415399061
"1655","FDT12",6.215,"Regular","Baking Goods",224.1062,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3595.27114264113
"1656","NCM18",13,"Low Fat","Household",62.0194,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1091.76881243894
"1657","FDP19",11.5,"Low Fat","Fruits and Vegetables",128.8652,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2487.55151650668
"1658","NCR42",9.105,"Low Fat","Household",33.09,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",855.94825253916
"1659","FDN10",11.5,"Low Fat","Snack Foods",118.6124,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1159.01377144804
"1660","FDG44",6.13,"Low Fat","Fruits and Vegetables",54.7298,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1331.89160499906
"1661","FDQ10",12.85,"Low Fat","Snack Foods",171.5422,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3332.2743180616
"1662","DRH13",8.575,"Low Fat","Soft Drinks",105.528,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1341.61773207259
"1663","FDT52",9.695,"Regular","Frozen Foods",245.0144,"OUT013",1987,"High","Tier 3","Supermarket Type1",3450.71934173456
"1664","FDM56",16.7,"Low Fat","Fruits and Vegetables",110.7912,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",864.564413018825
"1665","NCO43",5.5,"Low Fat","Others",101.5016,"OUT010",1998,"Small","Tier 3","Grocery Store",100.454496588698
"1666","NCV29",11.8,"Low Fat","Health and Hygiene",177.2686,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2890.67316101176
"1667","NCF06",6.235,"Low Fat","Household",260.1962,"OUT013",1987,"High","Tier 3","Supermarket Type1",2915.05204420245
"1668","FDO50",16.25,"Low Fat","Canned",91.3804,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1664.55222858309
"1669","FDT59",13.65,"Low Fat","Breads",229.7668,"OUT013",1987,"High","Tier 3","Supermarket Type1",3638.2330750987
"1670","FDX40",12.9111890774162,"low fat","Frozen Foods",36.7164,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2533.49613241168
"1671","FDE50",19.7,"Regular","Canned",186.3556,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",3092.63001128038
"1672","FDX51",9.5,"Regular","Meat",196.9452,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2966.65731125617
"1673","NCD30",19.7,"Low Fat","Household",98.5726,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",561.648665745637
"1674","FDK15",10.8,"Low Fat","Meat",100.5042,"OUT013",1987,"High","Tier 3","Supermarket Type1",2132.87301749075
"1675","FDL12",15.85,"Regular","Baking Goods",61.222,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",979.282128634738
"1676","FDK46",9.6,"Low Fat","Snack Foods",259.462,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",3477.26724732055
"1677","DRH49",19.7,"Low Fat","Soft Drinks",80.6592,"OUT010",1998,"Small","Tier 3","Grocery Store",-808.542660292051
"1678","FDQ57",7.275,"Low Fat","Snack Foods",146.876,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2263.35633977747
"1679","FDY59",8.195,"Low Fat","Baking Goods",93.4462,"OUT017",2007,"High","Tier 2","Supermarket Type1",1097.38290967625
"1680","FDO09",13.5,"Regular","Snack Foods",261.691,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3883.61267034488
"1681","NCG30",20.2,"Low Fat","Household",126.4046,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2042.14166031025
"1682","FDM09",11.15,"Regular","Snack Foods",168.679,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2042.45675878416
"1683","NCN17",13.1347182963261,"Low Fat","Health and Hygiene",101.0358,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2712.75135491651
"1684","NCS42",8.6,"Low Fat","Household",89.9146,"OUT013",1987,"High","Tier 3","Supermarket Type1",1844.14550564369
"1685","FDD02",14.0069381122989,"Low Fat","Canned",117.0124,"OUT019",1985,"Small","Tier 1","Grocery Store",539.230237217527
"1686","FDE34",9.195,"Low Fat","Snack Foods",182.3634,"OUT013",1987,"High","Tier 3","Supermarket Type1",3305.16012334147
"1687","FDU38",10.8,"Low Fat","Dairy",192.6504,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",3521.69284966427
"1688","FDB33",17.75,"Low Fat","Fruits and Vegetables",157.5262,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3222.51567726299
"1689","NCJ29",10.6,"Low Fat","Health and Hygiene",86.8224,"OUT017",2007,"High","Tier 2","Supermarket Type1",1150.46450444637
"1690","FDZ27",7.935,"Low Fat","Dairy",48.135,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1024.40578002171
"1691","FDI40",11.5,"Regular","Frozen Foods",99.7358,"OUT013",1987,"High","Tier 3","Supermarket Type1",1684.71817926334
"1692","FDG22",17.6,"Regular","Snack Foods",37.819,"OUT013",1987,"High","Tier 3","Supermarket Type1",211.974957899564
"1693","FDT51",11.65,"Regular","Meat",110.7544,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1707.69283570521
"1694","FDF20",12.85,"Low Fat","Fruits and Vegetables",198.5768,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3050.47537195177
"1695","FDV50",14.3,"Low Fat","Dairy",122.173,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1970.81415963274
"1696","FDT02",12.6,"Low Fat","Dairy",36.1874,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",484.852241843857
"1697","DRC49",8.67,"Low Fat","Soft Drinks",144.6128,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2434.53305031622
"1698","FDF26",6.825,"Regular","Canned",151.9998,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2317.54898867687
"1699","FDV52",20.7,"Regular","Frozen Foods",118.6466,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2243.65913018916
"1700","FDX59",10.195,"Low Fat","Breads",35.2558,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",436.773737958442
"1701","FDV25",5.905,"Low Fat","Canned",222.0456,"OUT035",2004,"Small","Tier 2","Supermarket Type1",5016.06856673748
"1702","FDW23",13.0346789165769,"Low Fat","Baking Goods",38.6164,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2164.04492648045
"1703","FDE53",10.895,"Low Fat","Frozen Foods",107.728,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1025.39988189496
"1704","FDA19",7.52,"Low Fat","Fruits and Vegetables",130.0994,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2302.59654331866
"1705","FDH22",6.405,"Low Fat","Snack Foods",126.0678,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1911.99041279702
"1706","NCO41",12.5,"Low Fat","Health and Hygiene",97.8384,"OUT013",1987,"High","Tier 3","Supermarket Type1",1862.17904473079
"1707","FDX12",18.2,"Regular","Baking Goods",241.3196,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",4128.9683873385
"1708","FDF17",5.19,"Low Fat","Frozen Foods",196.911,"OUT013",1987,"High","Tier 3","Supermarket Type1",3203.19969282933
"1709","FDS11",7.05,"Regular","Breads",222.3088,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",3815.81682820425
"1710","FDR51",9.035,"Regular","Meat",150.0708,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2636.77905192941
"1711","FDT49",7,"Low Fat","Canned",106.228,"OUT010",1998,"Small","Tier 3","Grocery Store",-429.576476346918
"1712","FDC56",7.72,"Low Fat","Fruits and Vegetables",120.244,"OUT013",1987,"High","Tier 3","Supermarket Type1",2270.64564116057
"1713","FDR13",11.8260096413192,"Regular","Canned",116.4492,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2663.00313266596
"1714","FDQ60",6.195,"Regular","Baking Goods",120.4098,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2242.89440637297
"1715","FDN38",6.615,"Regular","Canned",248.7408,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4285.04750972753
"1716","NCL29",9.695,"Low Fat","Health and Hygiene",157.8604,"OUT013",1987,"High","Tier 3","Supermarket Type1",2279.90951295508
"1717","FDO13",11.4286088652814,"Low Fat","Breakfast",164.0526,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3520.44693592088
"1718","FDE26",9.3,"Low Fat","Canned",143.8786,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2049.19410225324
"1719","FDA31",7.1,"Low Fat","Fruits and Vegetables",172.808,"OUT010",1998,"Medium","Tier 3","Grocery Store",347.604962821747
"1720","FDX14",13.1,"Low Fat","Dairy",75.3354,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1473.17931704462
"1721","FDA34",11.5,"Low Fat","Starchy Foods",174.108,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",3677.51398595933
"1722","FDF26",6.825,"Regular","Canned",153.0998,"OUT013",1987,"High","Tier 3","Supermarket Type1",2263.50072753168
"1723","FDE38",6.52,"Low Fat","Canned",166.5842,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",2892.29341083638
"1724","DRI11",8.26,"Low Fat","Hard Drinks",113.5834,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1780.40646215834
"1725","FDQ60",8.34427365752895,"Regular","Baking Goods",118.5098,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3491.69854869545
"1726","FDL21",15.2642069163328,"Regular","Snack Foods",39.348,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2346.58709593576
